task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
149	46/cfc2ca	197159	kraken_pipeline:progressive_bracken (17)	COMPLETED	0	2023-09-25 04:18:55.453	24.4s	23.3s	116.2%	417.3 MB	2.4 GB	454.2 MB	24.9 MB
151	c5/4fcb3f	198992	kraken_pipeline:makeReport (17)	COMPLETED	0	2023-09-25 04:19:19.883	18.9s	17.9s	105.9%	417.3 MB	2.4 GB	46.1 MB	28.1 MB
153	8e/80f23d	200597	kraken_pipeline:output (19)	COMPLETED	0	2023-09-25 04:19:38.859	932ms	8ms	80.0%	0	0	55.7 KB	201 B
152	5d/9d8d69	199041	kraken_pipeline:progressive_bracken (18)	COMPLETED	0	2023-09-25 04:19:20.073	24.4s	23.2s	116.3%	404 MB	2.4 GB	454.2 MB	24.9 MB
154	f6/8b0c2a	200869	kraken_pipeline:makeReport (18)	COMPLETED	0	2023-09-25 04:19:44.557	18.9s	18s	105.0%	413.2 MB	2.4 GB	46.1 MB	28.1 MB
156	a2/016c68	202474	kraken_pipeline:output (20)	COMPLETED	0	2023-09-25 04:20:03.523	924ms	7ms	72.7%	0	0	55.7 KB	201 B
155	5f/b8e438	200938	kraken_pipeline:progressive_bracken (19)	COMPLETED	0	2023-09-25 04:19:44.755	24.3s	23.3s	115.5%	411.2 MB	2.4 GB	454.2 MB	24.9 MB
157	6a/7f5aa1	202746	kraken_pipeline:makeReport (19)	COMPLETED	0	2023-09-25 04:20:09.179	19.4s	18.4s	105.5%	403.6 MB	2.4 GB	46.1 MB	28.2 MB
159	0e/32cad7	204356	kraken_pipeline:output (21)	COMPLETED	0	2023-09-25 04:20:28.666	766ms	7ms	69.6%	0	0	55.7 KB	201 B
158	3a/619e8f	202813	kraken_pipeline:progressive_bracken (20)	COMPLETED	0	2023-09-25 04:20:09.380	24.8s	23.6s	116.0%	406.4 MB	2.4 GB	454.2 MB	24.9 MB
160	2a/c10589	204625	kraken_pipeline:makeReport (20)	COMPLETED	0	2023-09-25 04:20:34.299	19.1s	18.1s	105.1%	405.8 MB	2.4 GB	46.1 MB	28.2 MB
162	2c/a29bcf	206237	kraken_pipeline:output (22)	COMPLETED	0	2023-09-25 04:20:53.490	852ms	7ms	66.7%	0	0	55.7 KB	201 B
161	63/b68c37	204694	kraken_pipeline:progressive_bracken (21)	COMPLETED	0	2023-09-25 04:20:34.509	24.5s	23.4s	115.6%	404.5 MB	2.4 GB	454.2 MB	24.9 MB
163	ec/ba5ae7	206508	kraken_pipeline:makeReport (21)	COMPLETED	0	2023-09-25 04:20:59.054	19.3s	18.3s	105.3%	416.8 MB	2.4 GB	46.1 MB	28.2 MB
165	de/724f31	208123	kraken_pipeline:output (23)	COMPLETED	0	2023-09-25 04:21:18.397	924ms	8ms	64.0%	1.1 MB	3.8 MB	55.7 KB	201 B
164	e2/71b190	206576	kraken_pipeline:progressive_bracken (22)	COMPLETED	0	2023-09-25 04:20:59.282	24.7s	23.6s	115.7%	413.1 MB	2.4 GB	454.2 MB	24.9 MB
166	7c/72323c	208393	kraken_pipeline:makeReport (22)	COMPLETED	0	2023-09-25 04:21:24.056	19.3s	18.3s	104.9%	419 MB	2.4 GB	46.1 MB	28.3 MB
168	26/6ee0bf	210008	kraken_pipeline:output (24)	COMPLETED	0	2023-09-25 04:21:43.423	876ms	7ms	76.2%	0	0	55.7 KB	201 B
167	a2/ec3eb3	208461	kraken_pipeline:progressive_bracken (23)	COMPLETED	0	2023-09-25 04:21:24.286	24.4s	23.3s	115.5%	418.2 MB	2.4 GB	454.2 MB	24.9 MB
169	20/d3f8a0	210281	kraken_pipeline:makeReport (23)	COMPLETED	0	2023-09-25 04:21:48.757	17.5s	16.5s	105.7%	420.3 MB	2.4 GB	46.1 MB	28.3 MB
170	0a/5cf4cd	211074	kraken_pipeline:output (25)	COMPLETED	0	2023-09-25 04:22:06.273	873ms	6ms	80.0%	0	0	55.7 KB	201 B
